tie_seeds,goal_solve,goal_favor,history_solve,history_favor
24,1,upper,1,lower
23,1,upper,1,upper
13,0,NA,1,lower
12,1,upper,1,upper
24,1,upper,1,upper
34,1,upper,0,NA
23,1,upper,1,lower
23,1,upper,1,upper
34,1,upper,1,upper
24,1,upper,1,lower
12,1,upper,0,NA
12,1,upper,1,lower
12,1,upper,0,NA
23,1,upper,1,upper
14,1,upper,1,upper
12,1,upper,1,upper
24,1,upper,0,NA
14,1,upper,1,upper
24,1,upper,0,NA
12,1,upper,1,upper
23,1,lower,1,upper
34,0,NA,1,upper
24,1,lower,1,lower
34,1,upper,1,upper
12,0,NA,1,lower
12,1,lower,0,NA
34,1,upper,0,NA
14,1,upper,1,upper
23,1,upper,0,NA
12,0,NA,1,lower
12,1,upper,1,lower
12,1,upper,1,upper
13,1,upper,1,upper
13,1,upper,1,upper
34,1,upper,1,upper
23,1,lower,1,upper
34,1,upper,1,upper
24,0,NA,1,lower
12,1,upper,0,NA
23,1,upper,1,lower
24,1,upper,1,lower
34,1,upper,1,lower
13,1,upper,1,upper
14,1,upper,1,lower
34,1,lower,1,upper
23,1,lower,1,lower
12,1,lower,1,lower
24,1,upper,0,NA
12,1,upper,1,upper
24,1,upper,1,upper
34,1,upper,1,upper
